,episode,score
1183,1183,20.0
1184,1184,16.0
1185,1185,18.0
1186,1186,21.0
1187,1187,20.0
1188,1188,14.0
1189,1189,16.0
1190,1190,18.0
1191,1191,18.0
1192,1192,17.0
1193,1193,15.0
1194,1194,14.0
1195,1195,14.0
1196,1196,16.0
1197,1197,19.0
1198,1198,14.0
1199,1199,23.0
1200,1200,17.0
1201,1201,10.0
1202,1202,18.0
1203,1203,16.0
1204,1204,18.0
1205,1205,18.0
1206,1206,15.0
1207,1207,19.0
1208,1208,17.0
1209,1209,15.0
1210,1210,19.0
1211,1211,12.0
1212,1212,18.0
1213,1213,16.0
1214,1214,13.0
1215,1215,19.0
1216,1216,20.0
1217,1217,16.0
1218,1218,14.0
1219,1219,16.0
1220,1220,14.0
1221,1221,19.0
1222,1222,17.0
1223,1223,15.0
1224,1224,14.0
1225,1225,17.0
1226,1226,16.0
1227,1227,12.0
1228,1228,17.0
1229,1229,12.0
1230,1230,16.0
1231,1231,15.0
1232,1232,16.0
1233,1233,19.0
1234,1234,19.0
1235,1235,11.0
1236,1236,11.0
1237,1237,21.0
1238,1238,19.0
1239,1239,18.0
1240,1240,13.0
1241,1241,20.0
1242,1242,18.0
1243,1243,16.0
1244,1244,18.0
1245,1245,18.0
1246,1246,15.0
1247,1247,17.0
1248,1248,11.0
1249,1249,14.0
1250,1250,16.0
1251,1251,16.0
1252,1252,17.0
1253,1253,12.0
1254,1254,17.0
1255,1255,17.0
1256,1256,8.0
1257,1257,19.0
1258,1258,21.0
1259,1259,15.0
1260,1260,16.0
1261,1261,17.0
1262,1262,13.0
1263,1263,21.0
1264,1264,16.0
1265,1265,19.0
1266,1266,21.0
1267,1267,18.0
1268,1268,18.0
1269,1269,12.0
1270,1270,14.0
1271,1271,19.0
1272,1272,21.0
1273,1273,14.0
1274,1274,14.0
1275,1275,20.0
1276,1276,23.0
1277,1277,12.0
1278,1278,11.0
1279,1279,13.0
1280,1280,16.0
1281,1281,13.0
1282,1282,11.0
1283,1283,20.0
1284,1284,18.0
1285,1285,13.0
1286,1286,20.0
1287,1287,17.0
1288,1288,10.0
1289,1289,14.0
1290,1290,13.0
1291,1291,18.0
1292,1292,17.0
1293,1293,14.0
1294,1294,18.0
1295,1295,18.0
1296,1296,19.0
1297,1297,19.0
1298,1298,19.0
1299,1299,18.0
1300,1300,8.0
1301,1301,17.0
1302,1302,16.0
1303,1303,17.0
1304,1304,16.0
1305,1305,19.0
1306,1306,20.0
1307,1307,23.0
1308,1308,22.0
1309,1309,18.0
1310,1310,15.0
1311,1311,18.0
1312,1312,13.0
1313,1313,18.0
1314,1314,15.0
1315,1315,18.0
1316,1316,18.0
1317,1317,20.0
1318,1318,13.0
1319,1319,18.0
1320,1320,13.0
1321,1321,17.0
1322,1322,14.0
1323,1323,19.0
1324,1324,15.0
1325,1325,17.0
1326,1326,12.0
1327,1327,16.0
1328,1328,18.0
1329,1329,14.0
1330,1330,16.0
1331,1331,21.0
1332,1332,20.0
1333,1333,21.0
1334,1334,17.0
1335,1335,19.0
1336,1336,14.0
1337,1337,17.0
1338,1338,9.0
1339,1339,22.0
1340,1340,16.0
1341,1341,18.0
1342,1342,16.0
1343,1343,14.0
1344,1344,13.0
1345,1345,21.0
1346,1346,14.0
1347,1347,6.0
1348,1348,24.0
1349,1349,19.0
1350,1350,17.0
1351,1351,22.0
1352,1352,13.0
1353,1353,16.0
1354,1354,16.0
1355,1355,17.0
1356,1356,15.0
1357,1357,12.0
1358,1358,20.0
1359,1359,15.0
1360,1360,18.0
1361,1361,22.0
1362,1362,14.0
1363,1363,16.0
1364,1364,19.0
1365,1365,15.0
1366,1366,19.0
1367,1367,15.0
1368,1368,16.0
1369,1369,18.0
1370,1370,19.0
1371,1371,13.0
1372,1372,14.0
1373,1373,19.0
1374,1374,16.0
1375,1375,17.0
1376,1376,17.0
1377,1377,18.0
1378,1378,15.0
1379,1379,15.0
1380,1380,16.0
1381,1381,17.0
1382,1382,18.0
1383,1383,19.0
1384,1384,13.0
1385,1385,15.0
1386,1386,19.0
1387,1387,19.0
1388,1388,14.0
1389,1389,19.0
1390,1390,16.0
1391,1391,15.0
1392,1392,12.0
1393,1393,16.0
1394,1394,20.0
1395,1395,19.0
1396,1396,20.0
1397,1397,21.0
1398,1398,17.0
1399,1399,16.0
1400,1400,19.0
1401,1401,15.0
1402,1402,17.0
1403,1403,19.0
1404,1404,18.0
1405,1405,14.0
1406,1406,22.0
1407,1407,13.0
1408,1408,7.0
1409,1409,16.0
1410,1410,19.0
1411,1411,10.0
1412,1412,16.0
1413,1413,8.0
1414,1414,15.0
1415,1415,20.0
1416,1416,20.0
1417,1417,12.0
1418,1418,12.0
1419,1419,16.0
1420,1420,14.0
1421,1421,21.0
1422,1422,18.0
1423,1423,15.0
1424,1424,18.0
1425,1425,16.0
1426,1426,18.0
1427,1427,12.0
1428,1428,19.0
1429,1429,20.0
1430,1430,23.0
1431,1431,14.0
1432,1432,14.0
1433,1433,24.0
1434,1434,22.0
1435,1435,17.0
1436,1436,17.0
1437,1437,12.0
1438,1438,18.0
1439,1439,18.0
1440,1440,18.0
1441,1441,15.0
1442,1442,14.0
1443,1443,22.0
1444,1444,17.0
1445,1445,14.0
1446,1446,19.0
1447,1447,17.0
1448,1448,9.0
1449,1449,17.0
1450,1450,18.0
1451,1451,17.0
1452,1452,11.0
1453,1453,19.0
1454,1454,16.0
1455,1455,9.0
1456,1456,18.0
1457,1457,11.0
1458,1458,19.0
1459,1459,19.0
1460,1460,22.0
1461,1461,18.0
1462,1462,17.0
1463,1463,16.0
1464,1464,16.0
1465,1465,15.0
1466,1466,24.0
1467,1467,17.0
1468,1468,23.0
1469,1469,17.0
1470,1470,18.0
1471,1471,23.0
1472,1472,16.0
1473,1473,18.0
1474,1474,20.0
1475,1475,23.0
1476,1476,16.0
1477,1477,15.0
1478,1478,17.0
1479,1479,12.0
1480,1480,18.0
1481,1481,14.0
1482,1482,20.0
1483,1483,21.0
1484,1484,20.0
1485,1485,20.0
1486,1486,12.0
1487,1487,9.0
1488,1488,23.0
1489,1489,23.0
1490,1490,15.0
1491,1491,14.0
1492,1492,18.0
1493,1493,16.0
1494,1494,18.0
1495,1495,17.0
1496,1496,20.0
1497,1497,17.0
1498,1498,18.0
1499,1499,18.0
1500,1500,16.0
1501,1501,23.0
1502,1502,20.0
1503,1503,17.0
1504,1504,25.0
1505,1505,12.0
1506,1506,21.0
1507,1507,20.0
1508,1508,15.0
1509,1509,19.0
1510,1510,19.0
1511,1511,14.0
1512,1512,20.0
1513,1513,13.0
1514,1514,15.0
1515,1515,14.0
1516,1516,15.0
1517,1517,23.0
1518,1518,21.0
1519,1519,15.0
1520,1520,17.0
1521,1521,19.0
1522,1522,17.0
1523,1523,13.0
1524,1524,17.0
1525,1525,9.0
1526,1526,13.0
1527,1527,15.0
1528,1528,21.0
1529,1529,11.0
1530,1530,25.0
1531,1531,18.0
1532,1532,21.0
1533,1533,16.0
1534,1534,16.0
1535,1535,16.0
1536,1536,20.0
1537,1537,17.0
1538,1538,22.0
1539,1539,23.0
1540,1540,18.0
1541,1541,19.0
1542,1542,14.0
1543,1543,19.0
1544,1544,21.0
1545,1545,19.0
1546,1546,11.0
1547,1547,20.0
1548,1548,14.0
1549,1549,14.0
1550,1550,12.0
1551,1551,18.0
1552,1552,14.0
1553,1553,15.0
1554,1554,16.0
1555,1555,9.0
1556,1556,14.0
1557,1557,17.0
1558,1558,14.0
1559,1559,22.0
1560,1560,22.0
1561,1561,13.0
1562,1562,16.0
1563,1563,22.0
1564,1564,14.0
1565,1565,15.0
1566,1566,21.0
1567,1567,18.0
1568,1568,14.0
1569,1569,18.0
1570,1570,23.0
1571,1571,24.0
1572,1572,14.0
1573,1573,18.0
1574,1574,20.0
1575,1575,14.0
1576,1576,20.0
1577,1577,16.0
1578,1578,15.0
1579,1579,22.0
1580,1580,17.0
1581,1581,15.0
1582,1582,18.0
1583,1583,18.0
1584,1584,16.0
1585,1585,8.0
1586,1586,16.0
1587,1587,15.0
1588,1588,17.0
1589,1589,15.0
1590,1590,14.0
1591,1591,17.0
1592,1592,14.0
